,wavelength (nm),C,R,G,B
0,300,0.0,0.0,0.0,0.0
1,305,0.0,0.0,0.0,0.0
2,310,0.0,0.0,0.0,0.0
3,315,0.0,0.0,0.0,0.0
4,320,0.0,0.0,0.0,0.0
5,325,0.0354378910141066,0.0,0.0,0.0
6,330,0.0727196766731174,0.0,0.0,0.0
7,335,0.111216642975204,0.0,0.0,0.0
8,340,0.126428955274564,0.0,0.0,0.0
9,345,3.37109912461989,1.19725765021748,1.20394127143636,1.19725765021748
10,350,3.05120464932645,1.07055107506326,1.07055107506326,1.07055107506326
11,355,3.35613738728476,1.19272035144573,1.16169892802237,1.09980114128096
12,360,5.05641094859518,2.30872930592847,1.61518568390702,1.45721564651501
13,365,6.33751906557683,3.09274451998179,1.95287916299167,1.75150990578876
14,370,6.35683601058616,3.0601804647093,1.90873892756912,1.84362118646213
15,375,6.56745865286976,3.03430718086618,1.865054294047,2.16687139908411
16,380,7.43286069167018,3.25574577201081,1.907796735384,2.9002030453771
17,385,8.76311637386165,3.63396765440149,2.05043766268591,4.00148643193089
18,390,10.0962643702018,4.00933835071563,2.21751608872233,5.20384088585061
19,395,11.7171942176483,4.38113629413232,2.42658997847608,6.78084296394275
20,400,18.1524149429216,5.68095505347609,3.09101561668374,11.9769685800091
21,405,34.1504087422855,8.57957879208428,4.73618995407301,24.2914890204528
22,410,59.753507697023,12.5143628155706,7.38559602382925,43.9757115128881
23,415,89.594373697764,15.5606815095356,10.58472577863,67.4435389581227
24,420,112.634531103017,15.3557790971162,13.2463739658854,87.0192892016395
25,425,128.581506437079,13.0837538307107,15.7755351870341,101.35311338045
26,430,138.196108310763,9.83689313193378,18.1679455830648,110.937293650911
27,435,145.686800596938,6.88271211204137,20.6179046969111,118.86545697905
28,440,152.385843430517,4.76220573227365,23.17164033729,125.867969743392
29,445,158.155583079894,3.32640716647489,25.9932618030243,131.601616524879
30,450,163.100560934754,2.51419873599366,29.8633617116988,135.645992690491
31,455,167.12547280544,2.14043138860694,35.5144836413447,137.545359766803
32,460,171.066908097349,2.03988372541574,42.8990285050646,138.446252484516
33,465,174.634569135673,2.04395707978059,50.8841538108547,138.651525844637
34,470,178.005233646317,2.08284979243921,58.1648829192198,138.24802054595
35,475,181.650293859462,2.214197690188,64.0280091501708,136.719959159138
36,480,185.32747923271,2.42035451073534,68.0433126621532,133.577340265142
37,485,188.976590588853,2.74681739669824,71.5060784686411,128.526096486707
38,490,192.047692609302,3.20944923441443,76.2138477882224,121.588239279354
39,495,194.534704256801,3.91610092032713,83.79580566682,113.101549298672
40,500,197.258592944318,5.05129349471542,94.9433711672522,103.83497089679
41,505,200.949646092657,6.78037814509705,109.177488025162,94.1290063170074
